order_id,order_line_id,customer_id,product_id,store_id,order_date,quantity,unit_price,discount_amount,net_amount,order_status
49258585-ce11-4009-9b46-86f2b702a711,49258585-ce11-4009-9b46-86f2b702a711-1,8d28c83a-ef8b-4301-85f1-2450c5fb8bee,PR-00054,ST-008,2026-07-15,4,162.03,0,648.12,shipped
49258585-ce11-4009-9b46-86f2b702a711,49258585-ce11-4009-9b46-86f2b702a711-2,8d28c83a-ef8b-4301-85f1-2450c5fb8bee,PR-00200,ST-015,2026-07-15,5,19.68,0,98.4,delivered
49258585-ce11-4009-9b46-86f2b702a711,49258585-ce11-4009-9b46-86f2b702a711-3,8d28c83a-ef8b-4301-85f1-2450c5fb8bee,PR-00183,ST-013,2026-07-15,3,312.12,0,936.36,cancelled
49258585-ce11-4009-9b46-86f2b702a711,49258585-ce11-4009-9b46-86f2b702a711-4,8d28c83a-ef8b-4301-85f1-2450c5fb8bee,PR-00133,ST-002,2026-07-15,4,263.16,0.15,894.74,cancelled
4d095920-50fd-44ee-a00b-eaca1aa6545f,4d095920-50fd-44ee-a00b-eaca1aa6545f-1,7633a369-6115-462b-baad-730ec2f301a0,PR-00012,ST-012,2026-07-15,5,421.68,0,2108.4,delivered
4d095920-50fd-44ee-a00b-eaca1aa6545f,4d095920-50fd-44ee-a00b-eaca1aa6545f-2,7633a369-6115-462b-baad-730ec2f301a0,PR-00159,ST-010,2026-07-15,2,261.27,0.15,444.16,placed
4d095920-50fd-44ee-a00b-eaca1aa6545f,4d095920-50fd-44ee-a00b-eaca1aa6545f-3,7633a369-6115-462b-baad-730ec2f301a0,PR-00043,ST-012,2026-07-15,5,524.43,0.1,2359.93,delivered
b1a43cc2-419b-4832-a200-2258672023c5,b1a43cc2-419b-4832-a200-2258672023c5-1,a3bd3e31-4925-461f-b460-e7a969f7ef81,PR-00132,ST-007,2026-07-15,3,247.74,0.15,631.74,shipped
44b2d12d-6c98-4abb-933a-3f2c4703b0d4,44b2d12d-6c98-4abb-933a-3f2c4703b0d4-1,365e9fed-a778-4c1c-9eef-abf95f60e1e4,PR-00072,ST-004,2026-07-15,2,323.9,0,647.8,placed
51b8896b-4bd8-484a-b506-4b3e96ca4de8,51b8896b-4bd8-484a-b506-4b3e96ca4de8-1,ad387ea1-f076-420c-ad67-73d5c89f7cfa,PR-00119,ST-015,2026-07-15,3,87.1,0,261.3,delivered
b2af580f-9183-4405-ad23-768dcae290ec,b2af580f-9183-4405-ad23-768dcae290ec-1,8de51fa9-4231-47f6-a9a7-9cc1b8aef569,PR-00105,ST-001,2026-07-15,1,429.11,0,429.11,delivered
46ce6ddb-4c5a-4d2b-bbfe-e9296a42a109,46ce6ddb-4c5a-4d2b-bbfe-e9296a42a109-1,5fe579ab-1338-4fe2-985e-95d1963527f6,PR-00111,ST-014,2026-07-15,5,518.58,0.1,2333.61,placed
7b6704cd-00bb-4c82-bdf6-72ca81b9bd8c,7b6704cd-00bb-4c82-bdf6-72ca81b9bd8c-1,30d803a8-2d3a-44c7-8ad2-ee21edb8486d,PR-00149,ST-004,2026-07-15,1,832.08,0,832.08,placed
bdb332f5-b62d-4a7f-aa2b-57ba2530800f,bdb332f5-b62d-4a7f-aa2b-57ba2530800f-1,9a46b998-3d64-498c-b012-357b274a6ca0,PR-00113,ST-002,2026-07-15,3,247.54,0,742.62,delivered
5a18c4bd-4f4a-4f27-a40c-361920eac3fc,5a18c4bd-4f4a-4f27-a40c-361920eac3fc-1,2c9bb365-6bd4-441a-b3ad-4d16ef370502,PR-00163,ST-002,2026-07-15,5,406.8,0,2034.0,cancelled
5a18c4bd-4f4a-4f27-a40c-361920eac3fc,5a18c4bd-4f4a-4f27-a40c-361920eac3fc-2,2c9bb365-6bd4-441a-b3ad-4d16ef370502,PR-00036,ST-009,2026-07-15,4,385.53,0,1542.12,placed
82f9ee54-f05d-4e0d-a6e8-b307930c08f5,82f9ee54-f05d-4e0d-a6e8-b307930c08f5-1,9cea28bc-5a02-4181-961c-53386481cdc7,PR-00123,ST-002,2026-07-15,5,398.09,0,1990.45,delivered
82f9ee54-f05d-4e0d-a6e8-b307930c08f5,82f9ee54-f05d-4e0d-a6e8-b307930c08f5-2,9cea28bc-5a02-4181-961c-53386481cdc7,PR-00178,ST-002,2026-07-15,5,131.24,0.15,557.77,placed
29e831b2-4a0a-43c5-b8db-89dacb992713,29e831b2-4a0a-43c5-b8db-89dacb992713-1,67fcb5fe-89f9-4190-99b9-f522adfc1862,PR-00027,ST-015,2026-07-15,4,249.23,0.15,847.38,placed
29e831b2-4a0a-43c5-b8db-89dacb992713,29e831b2-4a0a-43c5-b8db-89dacb992713-2,67fcb5fe-89f9-4190-99b9-f522adfc1862,PR-00049,ST-007,2026-07-15,1,472.84,0,472.84,cancelled
29e831b2-4a0a-43c5-b8db-89dacb992713,29e831b2-4a0a-43c5-b8db-89dacb992713-3,67fcb5fe-89f9-4190-99b9-f522adfc1862,PR-00041,ST-011,2026-07-15,3,109.21,0.1,294.87,delivered
29e831b2-4a0a-43c5-b8db-89dacb992713,29e831b2-4a0a-43c5-b8db-89dacb992713-4,67fcb5fe-89f9-4190-99b9-f522adfc1862,PR-00032,ST-007,2026-07-15,5,562.61,0.15,2391.09,shipped
f24403d9-b518-4eea-941d-4b44e0633c5d,f24403d9-b518-4eea-941d-4b44e0633c5d-1,b0cd3a4e-e3fd-4d8b-b8cb-48d4422a77fa,PR-00136,ST-001,2026-07-15,1,868.42,0,868.42,shipped
f24403d9-b518-4eea-941d-4b44e0633c5d,f24403d9-b518-4eea-941d-4b44e0633c5d-2,b0cd3a4e-e3fd-4d8b-b8cb-48d4422a77fa,PR-00183,ST-014,2026-07-15,4,312.12,0,1248.48,shipped
f24403d9-b518-4eea-941d-4b44e0633c5d,f24403d9-b518-4eea-941d-4b44e0633c5d-3,b0cd3a4e-e3fd-4d8b-b8cb-48d4422a77fa,PR-00003,ST-009,2026-07-15,1,415.35,0.15,353.05,cancelled
f24403d9-b518-4eea-941d-4b44e0633c5d,f24403d9-b518-4eea-941d-4b44e0633c5d-4,b0cd3a4e-e3fd-4d8b-b8cb-48d4422a77fa,PR-00112,ST-010,2026-07-15,3,108.4,0.1,292.68,cancelled
a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc,a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc-1,cf6e732f-8c87-4db7-88af-2706fc95095a,PR-00112,ST-008,2026-07-15,4,108.4,0.1,390.24,shipped
a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc,a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc-2,cf6e732f-8c87-4db7-88af-2706fc95095a,PR-00029,ST-015,2026-07-15,4,78.31,0.1,281.92,cancelled
a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc,a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc-3,cf6e732f-8c87-4db7-88af-2706fc95095a,PR-00154,ST-012,2026-07-15,3,559.86,0.1,1511.62,shipped
a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc,a2bd3614-ffbb-4d38-aee3-f0e2da3d83bc-4,cf6e732f-8c87-4db7-88af-2706fc95095a,PR-00028,ST-001,2026-07-15,5,129.97,0,649.85,shipped
3be337d6-cc9d-438a-90fd-c9516dfbdd6d,3be337d6-cc9d-438a-90fd-c9516dfbdd6d-1,4d3871c0-432b-435c-aadd-100f4798e452,PR-00074,ST-004,2026-07-15,1,47.34,0,47.34,cancelled
47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c,47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c-1,439d06e4-be4a-413b-b1c8-047c8d77eb05,PR-00097,ST-012,2026-07-15,2,511.54,0,1023.08,delivered
47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c,47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c-2,439d06e4-be4a-413b-b1c8-047c8d77eb05,PR-00096,ST-012,2026-07-15,3,357.54,0,1072.62,placed
47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c,47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c-3,439d06e4-be4a-413b-b1c8-047c8d77eb05,PR-00191,ST-007,2026-07-15,3,171.46,0.1,462.94,placed
47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c,47a1d4e2-25ba-4a83-9ce5-7ac2530ae22c-4,439d06e4-be4a-413b-b1c8-047c8d77eb05,PR-00108,ST-013,2026-07-15,3,774.13,0.15,1974.03,delivered
d85172f3-2b9d-452e-be21-a4dc056b964e,d85172f3-2b9d-452e-be21-a4dc056b964e-1,e194d4ba-8c5d-4081-922f-1c3b02db0401,PR-00183,ST-011,2026-07-15,3,312.12,0,936.36,placed
d85172f3-2b9d-452e-be21-a4dc056b964e,d85172f3-2b9d-452e-be21-a4dc056b964e-2,e194d4ba-8c5d-4081-922f-1c3b02db0401,PR-00038,ST-007,2026-07-15,5,369.43,0,1847.15,shipped
d85172f3-2b9d-452e-be21-a4dc056b964e,d85172f3-2b9d-452e-be21-a4dc056b964e-3,e194d4ba-8c5d-4081-922f-1c3b02db0401,PR-00058,ST-011,2026-07-15,2,512.71,0.1,922.88,placed
84a9d423-7867-4060-8018-1e58f2221782,84a9d423-7867-4060-8018-1e58f2221782-1,6153bb72-c62e-4baf-9f7b-5f50b341ad29,PR-00086,ST-008,2026-07-15,4,160.07,0,640.28,placed
84a9d423-7867-4060-8018-1e58f2221782,84a9d423-7867-4060-8018-1e58f2221782-2,6153bb72-c62e-4baf-9f7b-5f50b341ad29,PR-00195,ST-009,2026-07-15,4,647.09,0,2588.36,shipped
84a9d423-7867-4060-8018-1e58f2221782,84a9d423-7867-4060-8018-1e58f2221782-3,6153bb72-c62e-4baf-9f7b-5f50b341ad29,PR-00111,ST-006,2026-07-15,4,518.58,0,2074.32,delivered
dc2aa4a1-bafd-4477-adcf-efc90c6ed39c,dc2aa4a1-bafd-4477-adcf-efc90c6ed39c-1,e616184d-f40e-4fdb-9bd0-cff2a927a634,PR-00057,ST-009,2026-07-15,2,121.3,0,242.6,cancelled
4819ae2d-7d3d-438a-a1af-8d67adedb1cf,4819ae2d-7d3d-438a-a1af-8d67adedb1cf-1,21b8eb7b-b486-4b9b-b7d3-73ab953a5fab,PR-00084,ST-014,2026-07-15,2,84.48,0.1,152.06,shipped
4819ae2d-7d3d-438a-a1af-8d67adedb1cf,4819ae2d-7d3d-438a-a1af-8d67adedb1cf-2,21b8eb7b-b486-4b9b-b7d3-73ab953a5fab,PR-00044,ST-010,2026-07-15,5,394.28,0.1,1774.26,cancelled
e5ebe22e-648e-469c-b74e-72986cf7938c,e5ebe22e-648e-469c-b74e-72986cf7938c-1,fd5bb063-f55f-42d3-8c6a-2cd3435bbe3d,PR-00003,ST-001,2026-07-15,5,415.35,0,2076.75,delivered
e5ebe22e-648e-469c-b74e-72986cf7938c,e5ebe22e-648e-469c-b74e-72986cf7938c-2,fd5bb063-f55f-42d3-8c6a-2cd3435bbe3d,PR-00150,ST-008,2026-07-15,3,44.06,0,132.18,shipped
e5ebe22e-648e-469c-b74e-72986cf7938c,e5ebe22e-648e-469c-b74e-72986cf7938c-3,fd5bb063-f55f-42d3-8c6a-2cd3435bbe3d,PR-00128,ST-009,2026-07-15,5,550.41,0,2752.05,delivered
e5ebe22e-648e-469c-b74e-72986cf7938c,e5ebe22e-648e-469c-b74e-72986cf7938c-4,fd5bb063-f55f-42d3-8c6a-2cd3435bbe3d,PR-00161,ST-014,2026-07-15,3,283.39,0.1,765.15,shipped
131e0f2a-f3c3-4c5d-bca2-1af2d86d2cf1,131e0f2a-f3c3-4c5d-bca2-1af2d86d2cf1-1,324a2fe3-a10c-4be0-85c5-5f4c58e2a531,PR-00093,ST-015,2026-07-15,1,142.61,0,142.61,placed
